time, converged, iters, rel_resid, resid
2626, 1, 1205, 9.84856e-09, 9.85149e-09
2484, 1, 1205, 9.84856e-09, 9.85149e-09
2491, 1, 1205, 9.84856e-09, 9.85149e-09
2481, 1, 1205, 9.84856e-09, 9.85149e-09
2482, 1, 1205, 9.84856e-09, 9.85149e-09
2498, 1, 1205, 9.84856e-09, 9.85149e-09
2518, 1, 1205, 9.84856e-09, 9.85149e-09
2483, 1, 1205, 9.84856e-09, 9.85149e-09
2511, 1, 1205, 9.84856e-09, 9.85149e-09
2514, 1, 1205, 9.84856e-09, 9.85149e-09
2001, 1, 1212, 9.8191e-09, 9.82251e-09
2017, 1, 1212, 9.8191e-09, 9.82251e-09
2005, 1, 1212, 9.81291e-09, 9.81615e-09
2024, 1, 1212, 9.8191e-09, 9.82251e-09
2007, 1, 1212, 9.8191e-09, 9.82251e-09
2014, 1, 1212, 9.8191e-09, 9.82251e-09
2005, 1, 1212, 9.80091e-09, 9.80422e-09
2011, 1, 1212, 9.8191e-09, 9.82251e-09
2010, 1, 1212, 9.81291e-09, 9.81615e-09
2058, 1, 1212, 9.8191e-09, 9.82251e-09
1870, 1, 1207, 9.74094e-09, 9.74421e-09
1849, 1, 1206, 9.99684e-09, 1.00003e-08
1848, 1, 1207, 9.74094e-09, 9.74421e-09
1858, 1, 1207, 9.74094e-09, 9.74415e-09
1849, 1, 1207, 9.74094e-09, 9.74415e-09
1834, 1, 1207, 9.74089e-09, 9.74411e-09
1861, 1, 1207, 9.74094e-09, 9.74415e-09
1862, 1, 1207, 9.74094e-09, 9.74421e-09
1841, 1, 1206, 9.99684e-09, 1.00003e-08
1827, 1, 1207, 9.74094e-09, 9.74421e-09
1951, 1, 1197, 9.93964e-09, 9.94257e-09
1831, 1, 1197, 9.93964e-09, 9.94257e-09
1877, 1, 1197, 9.93964e-09, 9.94257e-09
1869, 1, 1197, 9.93964e-09, 9.94257e-09
1823, 1, 1197, 9.93964e-09, 9.94257e-09
1888, 1, 1197, 9.93964e-09, 9.94257e-09
1828, 1, 1197, 9.93964e-09, 9.94257e-09
1853, 1, 1197, 9.93968e-09, 9.94276e-09
1826, 1, 1197, 9.93968e-09, 9.94276e-09
1847, 1, 1197, 9.93968e-09, 9.94276e-09
1869, 1, 1196, 9.92092e-09, 9.92479e-09
1878, 1, 1196, 9.92092e-09, 9.92479e-09
1876, 1, 1196, 9.95564e-09, 9.95965e-09
1859, 1, 1196, 9.95564e-09, 9.95965e-09
1848, 1, 1196, 9.95564e-09, 9.95965e-09
1858, 1, 1196, 9.95564e-09, 9.95965e-09
1867, 1, 1196, 9.95564e-09, 9.95965e-09
1863, 1, 1196, 9.95564e-09, 9.95965e-09
1849, 1, 1196, 9.92092e-09, 9.92479e-09
1916, 1, 1196, 9.95564e-09, 9.95965e-09
1853, 1, 1193, 9.73758e-09, 9.7416e-09
1854, 1, 1193, 9.73712e-09, 9.74107e-09
1852, 1, 1193, 9.73758e-09, 9.7416e-09
1889, 1, 1193, 9.73712e-09, 9.74109e-09
1851, 1, 1193, 9.73712e-09, 9.74109e-09
1852, 1, 1193, 9.70175e-09, 9.70523e-09
1884, 1, 1193, 9.73712e-09, 9.74109e-09
1857, 1, 1193, 9.73758e-09, 9.7416e-09
1848, 1, 1193, 9.73758e-09, 9.7416e-09
1843, 1, 1193, 9.73758e-09, 9.7416e-09
1964, 1, 1141, 9.9734e-09, 9.97641e-09
1955, 1, 1141, 9.9734e-09, 9.97641e-09
1944, 1, 1141, 9.9734e-09, 9.97641e-09
1962, 1, 1141, 9.9734e-09, 9.97641e-09
1946, 1, 1141, 9.9734e-09, 9.97641e-09
2013, 1, 1141, 9.9734e-09, 9.97641e-09
1953, 1, 1141, 9.9734e-09, 9.97641e-09
1953, 1, 1141, 9.9734e-09, 9.97641e-09
2016, 1, 1141, 9.97344e-09, 9.97654e-09
1946, 1, 1141, 9.9734e-09, 9.97641e-09
